@relation 'cjs'

@attribute N numeric
@attribute TREE {D10,D13,D14,D16,D18,D19,D20,D21,D22,G10,G2,G20,G21,G24,G27,G28,G29,G4,G5,G6,G7,G8,G9,J1,J10,J12,J13,J15,J17,J19,J20,J25,J27,J29,J31,J6,J8,M10,M17,M20,M25,M33,M6,O20,O27,O28,O33,O3O,Q12,Q17,Q19,Q23,Q25,Q3,Q34,Q4,Q5}
@attribute BR {A,B,C,D,E,F,G,H,I,J}
@attribute TL numeric
@attribute IN numeric
@attribute INTERNODE_1 numeric
@attribute INTERNODE_2 numeric
@attribute INTERNODE_3 numeric
@attribute INTERNODE_4 numeric
@attribute INTERNODE_5 numeric
@attribute INTERNODE_6 numeric
@attribute INTERNODE_7 numeric
@attribute INTERNODE_8 numeric
@attribute INTERNODE_9 numeric
@attribute INTERNODE_10 numeric
@attribute INTERNODE_11 numeric
@attribute INTERNODE_12 numeric
@attribute INTERNODE_13 numeric
@attribute INTERNODE_14 numeric
@attribute INTERNODE_15 numeric
@attribute INTERNODE_16 numeric
@attribute INTERNODE_17 numeric
@attribute INTERNODE_18 numeric
@attribute INTERNODE_19 numeric
@attribute INTERNODE_20 numeric
@attribute INTERNODE_21 numeric
@attribute INTERNODE_22 numeric
@attribute INTERNODE_23 numeric
@attribute INTERNODE_24 numeric
@attribute INTERNODE_25 numeric
@attribute INTERNODE_26 numeric
@attribute INTERNODE_27 numeric
@attribute INTERNODE_28 numeric
@attribute INTERNODE_29 numeric
@attribute TR {EL_500_20g/L,EL_500_4g/L,PP_333_20g/L,PP_333_4g/L,control,methanol_control}

@data
1360,D18,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_20g/L
1361,D18,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_20g/L
1362,D18,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_20g/L
1363,D18,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_20g/L
1364,D18,E,1,4,0.3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_20g/L
1365,D18,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_20g/L
1366,D18,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_20g/L
1367,D18,F,1,4,0.3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_20g/L
1368,D18,F,1,4,0.3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_20g/L
1369,G21,A,86,20,0.3,1,1.5,3,4.4,5.1,5.1,5.9,7.6,7.3,6.2,6.6,6.8,6.6,5.5,5.1,4.4,2,1,0.3,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1370,G21,B,33,9,0.4,2.1,3.7,7.5,6.6,6.2,4,2.4,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1371,G21,B,1,3,0.3,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1372,G21,B,2,4,0.3,1,0.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1373,G21,B,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1374,G21,B,41,11,0.3,1.8,3.3,8.2,7.3,6.1,4.1,4.2,3.6,1.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1375,G21,B,43,12,0.5,1.8,3.3,7.5,6,6.2,5.2,4,3.1,2.8,1.9,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1376,G21,B,21.5,8,0.4,2.2,4.2,5.7,3.5,3,1.8,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1377,G21,B,35,10,0.4,1.5,3.3,7.3,5.8,5,4.3,3.8,2.6,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1378,G21,C,71,15,0.3,1.1,2.5,7.4,9,9.5,7.4,5.2,4.5,5.5,5,4.5,4.7,3.2,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1379,G21,C,17,8,0.3,1,1.8,3.7,5.2,3.2,1.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1380,G21,C,101.5,20,0.5,1.6,3.1,8.1,10,9,8.8,7.4,5.8,5.2,5.5,6,5.4,5.8,5.7,4.2,3.8,3.5,1.6,0.5,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1381,G21,C,110,21,0.5,1.2,3,7.3,8.1,9.9,8.5,9,7.1,6.9,6,6,5.7,6.3,5.9,6.2,5.5,3.5,1.8,1.1,0.3,?,?,?,?,?,?,?,?,PP_333_4g/L
1382,G21,D,41,13,0.3,1,1.5,3.2,4.2,4.2,4.5,4,5.6,4.5,4.2,3,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1383,G21,D,34,11,0.4,0.8,1.2,3.1,4.5,4.6,5.3,4.6,5.1,3.3,1.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1384,G21,D,1.5,4,0.2,0.5,0.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1385,G21,D,1,4,0.2,0.5,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1386,G21,D,1,4,0.3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1387,G21,D,77,20,0.3,1,1.1,2.5,4,5.1,5.4,5.3,5.4,5.3,6.8,6.9,7,6,5.1,3.5,2.9,2.3,1.2,0.3,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1388,G21,D,69,18,0.5,0.8,1,2.2,3.3,4.2,4.2,4.6,6.3,8.5,6.6,6.6,5.5,4.6,4.2,4.3,1.3,0.3,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1389,G21,E,4.5,6,0.3,1.1,1.2,1,0.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1390,G21,E,2,4,0.4,0.7,0.6,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1391,G21,E,3,5,0.3,0.7,0.6,0.8,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1392,G21,E,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1393,G21,E,6,7,0.2,0.8,0.7,1.2,1.5,1,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1394,G21,E,13,9,0.3,0.8,1,1.6,2.2,2.6,2.4,1.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1395,G21,E,2,4,0.3,0.7,0.6,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1396,G21,E,6,7,0.4,0.8,1,1.2,1.5,1,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1397,G21,F,13,7,0.3,1,1.4,3.2,3.4,2.9,1.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1398,G21,F,9,6,0.2,0.9,1.5,2.9,2.4,1.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1399,G21,F,40,13,0.6,1.2,2.3,5.5,5.1,5.5,5.1,3.8,3.6,2.9,2.8,1.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1400,G21,G,28,10,0.6,1.6,4.1,8.3,5.5,4.3,1.2,1.2,1,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1401,G21,G,3,5,0.2,0.8,1.1,0.7,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1402,G21,G,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1403,G21,G,3,5,0.2,0.5,0.8,1,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1404,J27,A,5,5,0.2,1.1,1.9,1.5,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1405,J27,A,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1406,J27,A,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1407,J27,A,1,3,0.3,0.8,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1408,J27,A,2,4,0.3,1.2,0.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1409,J27,A,119,22,1.2,2.6,5,6.2,6.3,7.6,7.1,6.2,5.8,5.3,8.5,8.6,7.4,9.8,7.9,5.8,4.3,4.1,4,3.1,1.6,0.4,?,?,?,?,?,?,?,PP_333_4g/L
1410,J27,B,153,25,1.2,2.6,6.8,8.4,11,9.3,7,7.1,6.4,6.7,8,7.8,9,10.2,10.2,9.6,6.5,6,5.3,4.2,3.7,2.6,1.8,1,0.2,?,?,?,?,PP_333_4g/L
1411,J27,C,34,8,0.6,2.5,6.6,10.4,7.5,4.5,1.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1412,J27,C,37,9,0.4,1.5,5.7,8.5,8.6,6.2,3.6,2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1413,J27,C,109,21,0.5,1.9,8,12,11.2,10.9,9,6.8,5,5,4.3,5.8,5.3,5,5.9,4,2.5,3,1.5,0.8,0.3,?,?,?,?,?,?,?,?,PP_333_4g/L
1414,J27,D,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1415,J27,D,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1416,J27,D,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1417,J27,D,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1418,J27,D,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1419,J27,D,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1420,J27,D,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1421,J27,D,12,7,0.3,1.2,1.5,2.6,3.9,2.3,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1422,J27,D,28,8,0.3,1.4,2.1,6,8.5,5.5,3.5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1423,J27,D,114.5,24,1,1.5,3.1,6.3,8.2,11,10.5,8.5,7.6,5,5.7,5.2,5.5,6.6,6.5,6.1,5.6,4.5,2.8,1.4,0.8,0.6,0.3,0.2,?,?,?,?,?,PP_333_4g/L
1424,J27,E,13,8,0.3,1.5,1.6,2.5,2.8,2.5,1.3,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1425,J27,E,10,7,0.3,1.3,1.5,2.1,2,1.8,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1426,J27,E,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1427,J27,E,1,4,0.3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1428,J27,E,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1429,J27,E,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1430,J27,E,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1431,J27,E,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1432,J27,E,73,20,0.6,1.3,1.7,2,2.9,3.4,5,4.6,6,6.3,4.6,5.8,6,6.6,5.2,5.2,3.5,1.7,0.8,0.2,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1433,J27,F,2,4,0.3,0.6,0.6,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1434,J27,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1435,J27,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1436,J27,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1437,J27,F,11,7,1,0.9,0.7,1.9,3.1,2.3,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1438,J27,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1439,J27,F,1,4,0.3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1440,J27,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1441,J27,F,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1442,J27,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1443,J27,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1444,J27,F,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1445,J27,F,1,3,0.2,0.5,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1446,J27,F,112,19,0.7,1.7,2.6,4.6,7.4,9.6,9,8.7,9.9,7.1,6.6,8.5,9.2,8.4,7,5,3.3,2.1,0.3,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1447,J27,G,2,3,0.4,1,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1448,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1449,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1450,J27,G,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1451,J27,G,2,4,0.2,0.6,0.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1452,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1453,J27,G,1,4,0.3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1454,J27,G,1,4,0.3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1455,J27,G,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1456,J27,G,2,4,0.2,0.5,0.6,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1457,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1458,J27,G,1,4,0.3,0.4,0.5,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1459,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1460,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1461,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1462,J27,G,1,3,0.3,0.5,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1463,J27,G,17,11,0.3,1,1,1.4,1.7,1.6,1.9,2.1,3.1,2.4,0.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1464,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1465,J27,G,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1466,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1467,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1468,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1469,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1470,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1471,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1472,J27,G,4,6,0.5,0.8,0.8,1,0.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1473,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1474,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1475,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1476,J27,G,1,3,0.3,0.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1477,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1478,J27,G,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1479,J27,G,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1480,J27,G,5,9,0.2,0.7,0.9,0.9,0.9,0.4,0.2,0.3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1481,J27,G,40,16,0.3,1.2,1.2,1.2,1.3,1.4,1.5,2.7,4,4.6,5.9,5.8,4.8,3.2,1,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1482,O28,A,47,11,2,7.2,11.2,8.1,6.5,5.1,3.2,1.4,1.2,0.8,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1483,O28,B,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1484,O28,B,47,12,1.5,4.2,8.1,7.6,5.3,4.7,4,4.3,3.6,2.2,1.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1485,O28,B,98,21,1.2,4.5,11,11,7.8,7.1,6.1,5.2,5.8,5,4.8,4.2,4.9,6,4.5,3.5,2.8,1.3,0.8,0.3,0.3,?,?,?,?,?,?,?,?,PP_333_4g/L
1486,O28,C,73.5,17,2.6,7.6,11.6,9.4,6.6,6,4.8,4.6,3.4,4,3.3,2.8,2.7,1.6,1,1,0.5,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1487,O28,D,103,22,1.2,4,10.5,11,8.5,7.2,6.6,5.5,6,5.3,5.8,5.1,4.6,4.7,3.1,2.6,3.5,2.6,2.3,1.9,0.7,0.2,?,?,?,?,?,?,?,PP_333_4g/L
1488,O28,E,99,18,2.8,8.3,12,9.3,8.2,8,6.5,7.3,6.5,5.2,5.4,5.2,5.2,3.6,2.8,1.9,1,0.2,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1489,O28,F,34,7,2.3,5.8,10.5,8.5,4.5,2,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1490,O28,G,28,6,1.5,5.4,10.2,7.2,3.1,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1491,O28,G,2,2,0.6,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1492,O28,G,5.5,3,1.1,3.2,1.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1493,O28,G,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1494,O28,G,8,4,0.7,3.1,3.8,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1495,O28,G,6,3,2.5,2.8,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1496,O28,G,6,3,2.5,3,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1497,O28,G,176,29,5,13.5,14.7,9.5,9,9.5,8,7.8,7.8,6.3,7.2,6.8,7.3,7.5,6.5,6.2,6.2,6,6.2,5.5,3.8,2.6,2.6,2.7,3.1,2.2,1.2,0.9,0.3,PP_333_4g/L
1498,G5,A,22,7,1.3,3.5,5.1,5.5,4.3,1.7,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1499,G5,B,26,7,0.5,2.7,5,6.2,6.3,4.4,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1500,G5,B,1,3,0.3,0.3,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1501,G5,B,1,2,0.5,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
1502,G5,B,69,11,1.6,5.5,10,10.1,8.6,7.9,7.4,7.2,5.8,4.1,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,PP_333_4g/L
